region,policy_avg_score,transport_infra_policy_score,labor_economy_policy_score,healthcare_policy_score,policy_efficiency_score,housing_environment_policy_score,sentiment_avg_score,sentiment_transport_infra_score,sentiment_labor_economy_score,sentiment_healthcare_score,sentiment_policy_efficiency_score,sentiment_housing_environment_score,gap_score
강원,76.40,73.86,73.40,76.00,79.93,78.62,50.05,56.72,42.34,51.13,45.03,55.04
경기,77.40,81.63,76.40,80.00,72.86,75.94,51.54,51.71,58.71,51.53,40.55,55.21
경남,75.10,75.19,72.80,75.00,75.93,76.46,45.71,51.61,42.40,40.78,42.83,50.95
경북,75.40,75.42,73.60,77.90,75.44,74.79,49.90,54.22,51.11,45.31,47.05,51.83
광주,74.30,75.98,71.40,74.30,76.31,73.60,46.02,41.90,40.94,43.86,53.64,49.76
대구,72.20,72.83,70.30,73.90,70.41,73.78,48.39,51.28,43.73,46.15,54.67,46.11
대전,73.90,76.55,72.20,73.50,72.45,74.66,51.53,50.80,43.34,58.53,46.58,58.39
부산,73.70,74.92,71.10,74.80,72.47,75.12,45.59,46.98,40.50,46.22,50.01,44.26
서울,75.90,78.26,74.10,78.70,75.51,73.13,57.47,58.09,55.75,63.19,59.74,50.58
세종,74.50,76.29,70.60,70.00,75.82,80.00,42.75,40.83,40.38,40.65,42.24,49.66
울산,71.00,71.22,73.90,70.00,70.00,70.00,47.62,42.53,43.06,44.13,48.90,59.50
인천,72.70,75.89,73.20,73.70,70.01,70.76,47.62,47.17,43.66,55.98,43.61,47.66
전남,75.80,73.30,73.20,76.50,78.16,77.85,46.59,44.61,42.79,43.02,52.14,50.37
전북,74.70,73.74,71.40,75.10,76.21,76.84,45.31,45.09,40.53,42.47,53.82,44.62
제주,74.90,73.34,71.70,71.90,80.00,77.53,43.38,51.96,40.77,41.18,40.49,42.50
충남,73.00,74.02,72.90,74.30,72.76,71.22,50.94,47.87,60.54,48.93,47.50,49.85
충북,73.60,72.57,74.30,74.30,73.72,72.92,52.35,51.34,53.64,48.49,60.09,48.21
